id,guid,type,name,profile,material,class,finish,start_x,start_y,start_z,end_x,end_y,end_z
148746,dec3c94b-8924-4667-931f-3a1ff0291938,Beam,PVL80,PL50*20,Steel_Undefined,100,Undefined,9000,4550,1872.5,9000,4550,1712.5
149006,6067605a-05ab-455f-b42c-b5f58cc0e182,Beam,PVL80,PL50*20,Steel_Undefined,100,Undefined,9000,4550,2272.5,9000,4550,2112.5
149266,05719924-a12c-4de1-829c-b983fb23b1c7,Beam,PVL80,PL50*20,Steel_Undefined,100,Undefined,9000,4550,2672.5,9000,4550,2512.5
153936,40b65120-53b0-4472-bffe-56fd23cb7321,Beam,PVL80,PL50*20,Steel_Undefined,100,Undefined,9000,-50,3072.5,9000,-50,2912.5
168883,8ec85c57-6928-4709-973c-96fdf6ba714c,Beam,CONCRETE ANCHOR,D22,Steel_Undefined,100,Undefined,9100,906,2261,9010,906,2261
169235,a637037a-5788-457b-b51e-d4c71dcb3c80,Beam,CONCRETE ANCHOR,D22,Steel_Undefined,100,Undefined,9100,3594,2239,9010,3594,2239
177322,e6617577-ac8b-4208-a69e-66318fc97c66,Beam,BEAM,900*900,Concrete_Undefined,3,,0,0,0,0,0,3000
177350,3156ee7d-8877-44b7-af99-91d6805bc9d2,Beam,BEAM,900*900,Concrete_Undefined,3,,4000,0,0,4000,0,3000
177375,129d64c0-e8cc-4d4e-8346-240bdb89513f,Beam,BEAM,900*900,Concrete_Undefined,3,,0,4000,0,0,4000,3000
177400,cb72ab04-7fec-4435-8ba3-ca172629b320,Beam,BEAM,900*900,Concrete_Undefined,3,,4000,4000,200,4000,4000,3000
177425,56f7f977-b761-4e76-aff8-d30ea27921e0,Beam,BEAM,900*900,Concrete_Undefined,3,,0,0,3000,4000,0,3000
177452,8f3f2517-7fb9-48b7-819f-6745bdb24346,Beam,BEAM,900*900,Concrete_Undefined,3,,0,4000,3000,4000,4000,3000
177506,5e885bf2-0e59-4ebe-9ae5-8b1f8332beaa,Beam,BEAM,900*900,Concrete_Undefined,3,,0,0,0,0,0,3000
177531,f5c5be4d-399e-42ee-b0db-6ed5ab9df3d1,Beam,BEAM,900*900,Concrete_Undefined,3,,4000,0,0,4000,0,3000
177556,aee5f61f-251b-4c13-9a50-1668210933bc,Beam,BEAM,900*900,Concrete_Undefined,3,,0,4000,0,0,4000,3000
177581,a067402d-edd8-42c7-afea-200fa638945b,Beam,BEAM,900*900,Concrete_Undefined,3,,4000,4000,200,4000,4000,3000
177606,2098e7ae-b680-4ade-a431-e53293aa5681,Beam,BEAM,900*900,Concrete_Undefined,3,,0,0,3000,4000,0,3000
177631,8b8c714f-7933-413c-8e1f-8a06ffe62758,Beam,BEAM,900*900,Concrete_Undefined,3,,0,4000,3000,4000,4000,3000
