Id,Guid,Type,Direction,Name,Profile,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Length
122334,606dcafb-b5bb-4279-a7e2-71577e1931d4,BEAM,HORIZONTAL,BEAM,ISA50X50X6,Steel_Undefined,9100.0,1350.0048403233213,350.0,9100.0,3150.004840323318,350.0,1799.9999999999968
121580,97305712-df3c-41b1-9629-e6b2387f9aac,BEAM,HORIZONTAL,PRECAST WALL,3250X200,M30,9000.000000000002,-1.6703844656668813e-12,0.0,9000.000000000002,4499.999999999998,0.0,4500.0
135427,8b3f1e19-8d98-49ff-9302-ac39f7a92055,BEAM,HORIZONTAL,HORIZONTAL WALL,3250X200,M30,9000.0,-1000.0000000000031,-4.547473508864641e-13,9000.000000000002,-3.183231456205249e-12,-2.2737367544323206e-13,999.9999999999999
135487,6767b2b1-35e8-41ea-b67a-52d41573dc7d,BEAM,HORIZONTAL,HORIZONTAL WALL,3250X200,M30,9000.0,4499.999999999997,-9.094947017729282e-13,9000.0,5499.999999999997,-9.094947017729282e-13,1000.0
153676,9cea2834-d3ff-4c95-b4ce-b6b31b42c26c,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000716,2672.4999840000023,9000.000000000002,-50.00000000000716,2512.4999840000046,159.99999999999773
151269,1d2d3be3-ca6f-47e5-a982-80ded84afd3b,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,50.00000000000193,2252.4999840000023,8999.999999999998,50.00000000000193,2092.4999840000046,159.99999999999773
151497,9e4280e2-3e08-4493-80d1-dc94f18de2c5,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,50.00000000000193,2652.4999840000023,8999.999999999998,50.00000000000193,2492.4999840000046,159.99999999999773
149526,27ce0f2a-95fc-4c6f-99a1-bcffc644c777,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999996,4550.0,3072.4999840000037,8999.999999999996,4550.0,2912.4999840000055,159.99999999999818
149969,176dec1a-a084-4adc-a8c3-f364a3a5b331,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,49.999999999999375,252.49998400000348,8999.999999999998,49.999999999999375,92.49998400000581,159.99999999999767
150229,2cb4c1fe-5ee8-4fed-a64b-78d55f4d8041,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,49.999999999999545,652.4999840000032,8999.999999999998,49.999999999999545,492.49998400000567,159.99999999999756
150489,47ffbabf-3e76-4aca-906d-7ff5472ea961,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,49.99999999999966,1052.499984000003,8999.999999999998,49.99999999999966,892.4999840000055,159.9999999999975
150749,43f90b12-221b-4d24-b15c-68d0f22d2ad8,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,49.99999999999966,1452.499984000003,8999.999999999998,49.99999999999966,1292.4999840000053,159.99999999999773
151009,6ecfc2b2-4efb-43cd-a255-4a67e60aadfa,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,49.99999999999966,1852.499984000003,8999.999999999998,49.99999999999966,1692.4999840000053,159.99999999999773
146988,54123530-0999-4df5-80a0-6f951db256a8,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000004,4449.999999999996,2652.4999840000037,9000.000000000004,4449.999999999996,2492.4999840000055,159.99999999999818
151725,7d8f3422-23f6-485e-bccb-feea2ce1f002,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,8999.999999999998,50.00000000000193,3052.4999840000023,8999.999999999998,50.00000000000193,2892.4999840000046,159.99999999999773
152148,d82624bb-1550-400a-bec6-733804d546a0,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000438,272.4999840000036,9000.000000000002,-50.00000000000438,112.49998400000601,159.9999999999976
152408,f3c027b8-a67b-4c25-9599-05ae3aa70ed8,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000455,672.4999840000035,9000.000000000002,-50.00000000000455,512.4999840000057,159.99999999999773
152668,5c8f6381-d5b2-4641-96ff-e23aed58d3b2,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000489,1072.499984000003,9000.000000000002,-50.00000000000489,912.4999840000056,159.99999999999739
152928,77130dc9-bf8b-47db-82dc-154f284b9e87,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000489,1472.499984000003,9000.000000000002,-50.00000000000489,1312.4999840000053,159.99999999999773
153188,0ce4d838-a57c-4846-a720-dae52f0ab233,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000489,1872.499984000003,9000.000000000002,-50.00000000000489,1712.4999840000053,159.99999999999773
153448,314c4118-cca2-430f-aae7-cdaba5979836,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000002,-50.00000000000716,2272.4999840000023,9000.000000000002,-50.00000000000716,2112.4999840000046,159.99999999999773
145391,a7c78228-3a49-440f-b6fa-e731bcff3d73,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000004,4449.999999999996,252.49998400000368,9000.000000000004,4449.999999999996,92.4999840000055,159.99999999999818
145688,c8af8010-961b-4419-866d-702268f789f9,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000004,4449.999999999996,652.4999840000037,9000.000000000004,4449.999999999996,492.4999840000055,159.99999999999818
145948,ebf1e1e0-db97-435a-a4e7-16e2dad2e827,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000004,4449.999999999996,1052.4999840000037,9000.000000000004,4449.999999999996,892.4999840000055,159.99999999999818
146208,9f16c129-6a2e-44ad-92da-87072938978b,COLUMN,VERTICAL,PVL80,PL50*20,Steel_Undefined,9000.000000000004,4449.999999999996,1452.4999840000037,9000.000000000004,4449.999999999996,1292.4999840000055,159.99999999999818
